bank,primary_metric,level of hierarchy,Level,metric name,comments,2020,2021,2022,2023,2024,Q4-23,Q1-24,Q2-24,Q3-24,Q4-24,Q1-25
First Abu Dhabi Bank (FAB),Net Interest Margin,Level 0. This top level stat,overall summary,First Abu Dhabi (FAB) YTD Net Interest Margin (NIM),This metric is in %,1.62%,1.46%,1.59%,1.80%,1.93%,1.80%,1.92%,1.96%,1.89%,1.93%,1.97%
Federal Reserve,Net Interest Margin,Level 0. This top level stat,overall summary,Federal Funds Rate,This metric is in %. Net Interest Margin (NIM) is closely linked to Federal Funds Rate.,0.25%,0.25%,4.50%,5.50%,4.50%,5.50%,5.50%,5.50%,5.00%,4.50%,
First Abu Dhabi Bank (FAB),gross loan,Level 3. This is customer level stat,industry level loan exposure,Agriculture,,,,,,,3.5,,,,3.3,
First Abu Dhabi Bank (FAB),gross loan,Level 3. This is customer level stat,industry level loan exposure,Energy,,,,,,,36.2,,,,40.8,
First Abu Dhabi Bank (FAB),gross loan,Level 3. This is customer level stat,industry level loan exposure,Manufacturing,,,,,,,26.4,,,,28.6,
First Abu Dhabi Bank (FAB),gross loan,Level 3. This is customer level stat,industry level loan exposure,Construction,,,,,,,10.8,,,,11,
First Abu Dhabi Bank (FAB),gross loan,Level 3. This is customer level stat,industry level loan exposure,Real Estate,,,,,,,85.8,,,,94.4,
First Abu Dhabi Bank (FAB),gross loan,Level 3. This is customer level stat,industry level loan exposure,Trading,,,,,,,22.2,,,,24.9,
First Abu Dhabi Bank (FAB),gross loan,Level 3. This is customer level stat,industry level loan exposure,Transport and Communication,,,,,,,37.9,,,,40.6,
First Abu Dhabi Bank (FAB),gross loan,Level 3. This is customer level stat,industry level loan exposure,Banks,,,,,,,12.6,,,,17.9,
First Abu Dhabi Bank (FAB),gross loan,Level 3. This is customer level stat,industry level loan exposure,Other financial institutions,,,,,,,83.9,,,,84.2,
First Abu Dhabi Bank (FAB),gross loan,Level 3. This is customer level stat,industry level loan exposure,Services,,,,,,,42.5,,,,47.4,
First Abu Dhabi Bank (FAB),gross loan,Level 3. This is customer level stat,industry level loan exposure,Government,,,,,,,61.3,,,,72.8,
First Abu Dhabi Bank (FAB),gross loan,Level 3. This is customer level stat,industry level loan exposure,Personal loans and credit cards,,,,,,,50.4,,,,49.4,
First Abu Dhabi Bank (FAB),gross loan,Level 3. This is customer level stat,industry level loan exposure,Personal - retail mortgage,,,,,,,31,,,,34.9,
First Abu Dhabi Bank (FAB),gross loan,Level 0. This top level stat,overall summary,FAB gross loan aggregates,,,410,460,484,529,,,,,529,
